latitude,longitude,OBJECTID,CASE_1,CASE_2,CASE_3,SYMBOL,TIME_ZONE
47.25971125,-122.22819386,"32",Y,,,"1",
47.2592181,-122.22827102,"32",Y,,,"1",
47.267708,-122.33148,"33",Y,,,"1",D
47.267078,-122.332426,"33",Y,,,"1",D
47.265196,-122.329876,"33",Y,,,"1",D
47.265459,-122.32766,"33",Y,,,"1",D
47.264055,-122.33397,"33",Y,,,"1",D
47.267051,-122.326692,"33",Y,,,"1",D
47.265043,-122.326921,"33",Y,,,"1",D
47.267739,-122.330346,"33",Y,,,"1",D
47.267685,-122.332149,"33",Y,,,"1",D
47.267095,-122.333081,"33",Y,,,"1",D
47.26744,-122.330928,"33",Y,,,"1",D
47.270008,-122.330831,"33",Y,,,"1",D
47.269759,-122.32754,"33",Y,,,"1",D
47.271075,-122.326006,"33",Y,,,"1",D
47.269844,-122.32641,"33",Y,,,"1",D
47.271236,-122.323975,"33",Y,,,"1",D
47.268694,-122.325545,"33",Y,,,"1",D
47.270631,-122.326033,"33",Y,,,"1",D
47.269346,-122.325991,"33",Y,,,"1",D
47.269742,-122.325124,"33",Y,,,"1",D
47.26184828,-122.25424182,"31",Y,Y,,"2",
47.26124771,-122.2542274,"31",Y,Y,,"2",
47.26162442,-122.25421674,"31",Y,Y,,"2",
47.26126772,-122.25388267,"31",Y,Y,,"2",
47.26188196,-122.2535372,"31",Y,Y,,"2",
47.26125418,-122.25362823,"31",Y,Y,,"2",
47.26126495,-122.25330769,"31",Y,Y,,"2",
47.26126576,-122.25292535,"31",Y,Y,,"2",
47.26123805,-122.25261693,"31",Y,Y,,"2",
47.26117003,-122.25245701,"31",Y,Y,,"2",
47.2612615,-122.25218637,"31",Y,Y,,"2",
47.26160964,-122.25230304,"31",Y,Y,,"2",
47.26187796,-122.25227884,"31",Y,Y,,"2",
47.26183489,-122.25151273,"31",Y,Y,,"2",
47.26179655,-122.25184994,"31",Y,Y,,"2",
47.2614555,-122.25201125,"31",Y,Y,,"2",
47.26125203,-122.25152124,"31",Y,Y,,"2",
47.26147034,-122.25183402,"31",Y,Y,,"2",
47.26145209,-122.25153932,"31",Y,Y,,"2",
47.2612393,-122.25096378,"31",Y,Y,,"2",
47.26124874,-122.25120167,"31",Y,Y,,"2",
47.26180572,-122.25117613,"31",Y,Y,,"2",
47.26173575,-122.25091813,"31",Y,Y,,"2",
47.26161967,-122.25062279,"31",Y,Y,,"2",
47.26125795,-122.25064758,"31",Y,Y,,"2",
47.26259441,-122.25048227,"31",Y,Y,,"2",
47.26259716,-122.25072053,"31",Y,Y,,"2",
47.26225088,-122.25064393,"31",Y,Y,,"2",
47.26261143,-122.25097687,"31",Y,Y,,"2",
47.26207169,-122.25065161,"31",Y,Y,,"2",
47.26272258,-122.25130362,"31",Y,Y,,"2",
47.26264135,-122.25158729,"31",Y,Y,,"2",
47.2623329,-122.25159296,"31",Y,Y,,"2",
47.26212149,-122.25159768,"31",Y,Y,,"2",
47.26265969,-122.25203642,"31",Y,Y,,"2",
47.26230445,-122.25215183,"31",Y,Y,,"2",
47.26212999,-122.25212205,"31",Y,Y,,"2",
