Unnamed: 0,ADDR_FULL,ZIP5,PLUS4,CTYNAME,POSTALCTYNAME,LAT,LON,APPRLNDVAL,APPR_IMPR,TAX_LNDVAL,TAX_IMPR,is_threatened
117,35213 26TH CT S,98003,7200.0,,FEDERAL WAY,47.28595,-122.29979,110000.0,181000.0,110000.0,181000.0,0
118,35219 26TH CT S,98003,7200.0,,FEDERAL WAY,47.28569,-122.29986,110000.0,226000.0,110000.0,226000.0,0
119,35214 25TH PL S,98003,7206.0,,FEDERAL WAY,47.28581,-122.30021,110000.0,224000.0,110000.0,224000.0,0
120,35206 25TH PL S,98003,7206.0,,FEDERAL WAY,47.28603,-122.30011,110000.0,219000.0,92000.0,145000.0,0
121,2509 S 354TH ST,98003,7201.0,,FEDERAL WAY,47.28452,-122.30106,110000.0,189000.0,110000.0,189000.0,0
122,2513 S 354TH ST,98003,7201.0,,FEDERAL WAY,47.28448,-122.3008,110000.0,174000.0,110000.0,174000.0,0
123,2517 S 354TH ST,98003,7201.0,,FEDERAL WAY,47.28449,-122.30055,110000.0,198000.0,110000.0,198000.0,0
124,2521 S 354TH ST,98003,7201.0,,FEDERAL WAY,47.28449,-122.3003,110000.0,178000.0,110000.0,178000.0,0
125,2525 S 354TH ST,98003,7201.0,,FEDERAL WAY,47.28444,-122.3,110000.0,211000.0,110000.0,211000.0,0
126,2529 S 354TH ST,98003,7201.0,,FEDERAL WAY,47.28447,-122.29967,110000.0,221000.0,110000.0,221000.0,0
127,2533 S 354TH ST,98003,7201.0,,FEDERAL WAY,47.28466,-122.2996,110000.0,210000.0,110000.0,210000.0,0
128,2532 S 354TH ST,98003,7201.0,,FEDERAL WAY,47.28486,-122.29966,110000.0,238000.0,110000.0,238000.0,0
129,2528 S 354TH ST,98003,7201.0,,FEDERAL WAY,47.28498,-122.29991,110000.0,200000.0,110000.0,200000.0,0
130,2524 S 354TH ST,98003,7201.0,,FEDERAL WAY,47.28501,-122.30018,110000.0,173000.0,97000.0,164000.0,0
131,2518 S 354TH ST,98003,7201.0,,FEDERAL WAY,47.28491,-122.30044,110000.0,227000.0,110000.0,227000.0,0
132,2510 S 354TH ST,98003,7201.0,,FEDERAL WAY,47.2849,-122.30084,110000.0,195000.0,110000.0,195000.0,0
133,35322 25TH PL S,98003,7208.0,,FEDERAL WAY,47.28508,-122.30069,110000.0,196000.0,110000.0,196000.0,0
134,35316 25TH PL S,98003,7208.0,,FEDERAL WAY,47.28526,-122.30056,110000.0,202000.0,110000.0,202000.0,0
135,2507 S 353RD ST,98003,7202.0,,FEDERAL WAY,47.28546,-122.30047,110000.0,218000.0,110000.0,218000.0,0
136,2513 S 353RD ST,98003,7202.0,,FEDERAL WAY,47.28538,-122.30021,110000.0,205000.0,110000.0,205000.0,0
137,2519 S 353RD ST,98003,7202.0,,FEDERAL WAY,47.28529,-122.29996,110000.0,213000.0,110000.0,213000.0,0
138,2603 S 353RD ST,98003,7204.0,,FEDERAL WAY,47.2852,-122.29972,110000.0,201000.0,110000.0,201000.0,0
139,2609 S 353RD ST,98003,7204.0,,FEDERAL WAY,47.28511,-122.29947,110000.0,189000.0,110000.0,189000.0,0
140,2615 S 353RD ST,98003,7204.0,,FEDERAL WAY,47.28505,-122.29924,110000.0,174000.0,110000.0,174000.0,0
141,2621 S 353RD ST,98003,7204.0,,FEDERAL WAY,47.28505,-122.29898,110000.0,191000.0,110000.0,191000.0,0
142,2627 S 353RD ST,98003,7204.0,,FEDERAL WAY,47.28505,-122.29871,110000.0,186000.0,110000.0,186000.0,0
143,2633 S 353RD ST,98003,7204.0,,FEDERAL WAY,47.28505,-122.29845,110000.0,188000.0,110000.0,188000.0,0
144,2711 S 353RD ST,98003,7205.0,,FEDERAL WAY,47.28505,-122.29818,110000.0,177000.0,110000.0,177000.0,0
145,2717 S 353RD ST,98003,7205.0,,FEDERAL WAY,47.28505,-122.29789,105000.0,180000.0,43000.0,74500.0,0
146,1641 FLORENCE ST,98022,2233.0,ENUMCLAW,ENUMCLAW,47.2063,-122.0026,102000.0,237000.0,102000.0,237000.0,0
147,1621 FLORENCE ST,98022,2233.0,ENUMCLAW,ENUMCLAW,47.20607,-122.00262,103000.0,238000.0,103000.0,238000.0,0
148,27121 SE MUD MOUNTAIN RD,98022,7309.0,ENUMCLAW,ENUMCLAW,47.16501,-121.98003,227000.0,116000.0,0.0,0.0,True
149,26715 SE MUD MOUNTAIN RD,98022,7393.0,,ENUMCLAW,47.16593,-121.98593,349000.0,695000.0,156486.0,695000.0,True
150,26343 SE MUD MOUNTAIN RD,98022,7382.0,,ENUMCLAW,47.1686,-121.99088,349000.0,56000.0,64850.0,56000.0,True
151,26333 SE MUD MOUNTAIN RD,98022,7382.0,,ENUMCLAW,47.1666,-121.99214,303000.0,275000.0,52612.0,275000.0,True
152,27212 SE MUD MOUNTAIN RD,98022,9363.0,,ENUMCLAW,47.16542,-121.9789,179000.0,182000.0,179000.0,182000.0,0
153,27520 SE MUD MOUNTAIN RD,98022,9362.0,,ENUMCLAW,47.16441,-121.97467,164000.0,248000.0,164000.0,248000.0,0
154,26820 SE MUD MOUNTAIN RD,98022,9374.0,,ENUMCLAW,47.16659,-121.98347,140000.0,136000.0,140000.0,136000.0,0
155,27517 SE MUD MOUNTAIN RD,98022,9362.0,,ENUMCLAW,47.16362,-121.97527,236000.0,317000.0,236000.0,317000.0,True
156,27319 SE MUD MOUNTAIN RD,98022,9363.0,,ENUMCLAW,47.16402,-121.97806,160000.0,193000.0,160000.0,193000.0,True
157,27425 SE MUD MOUNTAIN RD,98022,9351.0,,ENUMCLAW,47.16351,-121.97684,145000.0,7000.0,145000.0,7000.0,True
158,27320 SE MUD MOUNTAIN RD,98022,9363.0,,ENUMCLAW,47.16504,-121.97705,206000.0,48000.0,206000.0,48000.0,0
159,27510 SE MUD MOUNTAIN RD,98022,9362.0,,ENUMCLAW,47.16546,-121.9753,250000.0,578000.0,121782.0,578000.0,0
160,27221 SE MUD MOUNTAIN RD,98022,9363.0,,ENUMCLAW,47.16443,-121.97879,206000.0,407000.0,206000.0,407000.0,True
161,26918 SE MUD MOUNTAIN RD,98022,9353.0,,ENUMCLAW,47.16657,-121.98186,203000.0,326000.0,203000.0,326000.0,0
162,27008 SE MUD MOUNTAIN RD,98022,7392.0,,ENUMCLAW,47.16606,-121.98068,185000.0,374000.0,185000.0,374000.0,0
163,27114 SE MUD MOUNTAIN RD,98022,7309.0,,ENUMCLAW,47.16597,-121.98004,184000.0,172000.0,184000.0,172000.0,0
164,38445 180TH AVE SE,98092,9765.0,,AUBURN,47.25631,-122.10234,191000.0,214000.0,0.0,0.0,0
165,17513 SE 384TH ST,98092,5021.0,,AUBURN,47.25718,-122.1077,957000.0,587000.0,0.0,0.0,0
166,39105 180TH AVE SE,98092,9768.0,,AUBURN,47.25053,-122.10244,207000.0,4653500.0,0.0,0.0,0
167,16601 SE 384TH ST,98092,9702.0,,AUBURN,47.2569,-122.12143,200000.0,407000.0,200000.0,407000.0,0
168,38924 AUBURN ENUMCLAW RD SE,98092,9310.0,,AUBURN,47.25223,-122.11932,140000.0,112000.0,0.0,0.0,0
169,39107 172ND AVE SE,98092,2688.0,,AUBURN,47.25091,-122.11248,177000.0,946000.0,0.0,0.0,0
170,16604 SE 397TH CT,98092,5602.0,,AUBURN,47.24637,-122.12179,542000.0,0.0,0.0,0.0,0
171,39606 AUBURN ENUMCLAW RD SE,98092,9312.0,,AUBURN,47.24643,-122.11405,97000.0,231000.0,97000.0,231000.0,0
172,17303 SE 392ND ST,98092,9760.0,,AUBURN,47.24958,-122.11121,337000.0,0.0,0.0,0.0,0
173,17920 SE 400TH ST,98092,9718.0,,AUBURN,47.24321,-122.10227,384000.0,201000.0,0.0,0.0,0
174,39406 AUBURN ENUMCLAW RD SE,98092,9301.0,,AUBURN,47.24865,-122.11597,318000.0,252000.0,318000.0,252000.0,0
175,38508 172ND AVE SE,98092,9763.0,,AUBURN,47.25609,-122.112,24300.0,0.0,0.0,0.0,0
176,39409 AUBURN ENUMCLAW RD SE,98092,9301.0,,AUBURN,47.24808,-122.11646,247000.0,207000.0,247000.0,207000.0,0
177,39307 AUBURN ENUMCLAW RD SE,98092,9300.0,,AUBURN,47.24872,-122.11968,237000.0,369000.0,237000.0,369000.0,0
178,38811 172ND AVE SE,98092,2695.0,,AUBURN,47.25332,-122.11374,255600.0,591100.0,0.0,0.0,0
179,39525 AUBURN ENUMCLAW RD SE,98092,9312.0,,AUBURN,47.24687,-122.11594,253000.0,1000.0,253000.0,1000.0,0
180,38503 172ND AVE SE,98092,9763.0,,AUBURN,47.25706,-122.11253,180000.0,1000.0,0.0,0.0,0
181,38629 AUBURN ENUMCLAW RD SE,98092,9347.0,,AUBURN,47.25503,-122.12274,220500.0,296200.0,220500.0,296200.0,0
182,38719 AUBURN ENUMCLAW RD SE,98092,9346.0,,AUBURN,47.25423,-122.1227,118000.0,256000.0,118000.0,256000.0,0
183,39917 AUBURN ENUMCLAW RD SE,98092,9315.0,,AUBURN,47.24334,-122.11302,260300.0,1424600.0,0.0,0.0,0
184,38606 AUBURN ENUMCLAW RD SE,98092,9347.0,,AUBURN,47.25576,-122.12246,198000.0,359000.0,198000.0,359000.0,0
185,39605 AUBURN ENUMCLAW RD SE,98092,9312.0,,AUBURN,47.24641,-122.11545,132000.0,292000.0,132000.0,292000.0,0
186,17406 SE 392ND ST,98092,9760.0,,AUBURN,47.25062,-122.10949,259000.0,226000.0,259000.0,226000.0,0
187,17500 SE 392ND ST,98092,9705.0,,AUBURN,47.251,-122.10778,299500.0,19418800.0,0.0,0.0,0
188,38912 172ND AVE SE,98092,2692.0,,AUBURN,47.25306,-122.11013,264000.0,638000.0,96808.0,638000.0,0
189,38709 172ND AVE SE,98092,2693.0,,AUBURN,47.25443,-122.11273,259700.0,525200.0,0.0,0.0,0
190,39819 AUBURN ENUMCLAW RD SE,98092,9315.0,,AUBURN,47.2442,-122.11996,222000.0,341000.0,0.0,0.0,0
191,17610 SE 400TH ST,98092,9732.0,,AUBURN,47.24375,-122.10372,277300.0,1740700.0,0.0,0.0,0
192,39719 AUBURN ENUMCLAW RD SE,98092,9314.0,,AUBURN,47.24548,-122.11498,136000.0,229000.0,0.0,0.0,0
193,38717 180TH AVE SE,98092,9765.0,,AUBURN,47.25416,-122.10214,234000.0,384000.0,132153.0,384000.0,0
194,38619 180TH AVE SE,98092,9765.0,,AUBURN,47.2549,-122.10226,234000.0,602000.0,234000.0,602000.0,0
195,39015B 172ND AVE SE,98092,2689.0,,AUBURN,47.25154,-122.11415,126700.0,523200.0,0.0,0.0,0
196,38911 172ND AVE SE,98092,2692.0,,AUBURN,47.2527,-122.11261,125000.0,204300.0,0.0,0.0,0
197,17623 SE 384TH ST,98092,9712.0,,AUBURN,47.2571,-122.106,127000.0,259000.0,0.0,0.0,0
198,38965 180TH AVE SE,98092,9780.0,,AUBURN,47.25203,-122.10364,136000.0,261000.0,0.0,0.0,0
199,39007 180TH AVE SE,98092,9768.0,,AUBURN,47.25156,-122.10219,136000.0,231000.0,0.0,0.0,0
200,39605 180TH AVE SE,98092,9789.0,,AUBURN,47.24609,-122.10234,147000.0,240000.0,147000.0,240000.0,0
201,38917 180TH AVE SE,98092,9780.0,,AUBURN,47.25246,-122.10254,213000.0,404000.0,0.0,0.0,0
202,17169 SE 392ND ST,98092,9304.0,,AUBURN,47.25039,-122.11283,153000.0,593000.0,0.0,0.0,0
203,38927 172ND AVE SE,98092,2692.0,,AUBURN,47.25223,-122.11324,127000.0,480000.0,0.0,0.0,0
204,39723 AUBURN ENUMCLAW RD SE,98092,9314.0,,AUBURN,47.24537,-122.11541,197000.0,84000.0,0.0,0.0,0
205,38721 AUBURN ENUMCLAW RD SE,98092,9346.0,,AUBURN,47.25411,-122.12228,90000.0,92000.0,90000.0,92000.0,0
206,38825 180TH AVE SE,98092,9765.0,,AUBURN,47.2529,-122.10414,219000.0,212000.0,219000.0,212000.0,0
207,38407 180TH AVE SE,98092,9765.0,,AUBURN,47.25702,-122.1022,241000.0,856000.0,0.0,0.0,0
