Unnamed: 0,PARCEL_NO,ADDRESS1,CITY,STATE,ZIP,BLDG_VALUE,LAND_VALUE,TOTAL_VALU,LAT,LONG,LOOKUP,SUCCESS,is_threatened
11082,99801041000,1706 ALONDA LN NE,OLYMPIA,WA,98516,20300.0,0.0,20300.0,47.06078,-122.82461,1,1,
11083,99801059000,8530 STEILACOOM RD SE # 97,OLYMPIA,WA,98513,4300.0,0.0,4300.0,0.0,0.0,1,0,
11084,99801060000,8530 STEILACOOM RD SE # 73,OLYMPIA,WA,98513,10500.0,0.0,10500.0,0.0,0.0,1,0,
11085,99801061800,7300 32ND AVE NE # 39,OLYMPIA,WA,98516,11300.0,0.0,11300.0,0.0,0.0,1,0,
11086,99801069500,1602 ALONDA LN NE,OLYMPIA,WA,98516,17800.0,0.0,17800.0,47.0604,-122.82699,1,1,
11087,99801075800,6748 FIR TREE RD SE # 22,OLYMPIA,WA,98513,15400.0,0.0,15400.0,46.96419,-122.81814,1,1,
11088,99801079100,1601 ALONDA LN NE,OLYMPIA,WA,98516,22600.0,0.0,22600.0,47.06039,-122.82699,1,1,
11089,99801080200,8530 STEILACOOM RD SE,OLYMPIA,WA,98513,11600.0,0.0,11600.0,0.0,0.0,1,0,
11090,99801080900,8530 STEILACOOM RD SE # 101,OLYMPIA,WA,98513,11800.0,0.0,11800.0,0.0,0.0,1,0,
11091,99801081500,8530 STEILACOOM RD SE # 74,OLYMPIA,WA,98513,5300.0,0.0,5300.0,0.0,0.0,1,0,
11092,99801087700,8530 STEILACOOM RD SE # 123,OLYMPIA,WA,98513,21900.0,0.0,21900.0,0.0,0.0,1,0,
11093,99801087900,8005 MARTIN WAY E # 8,OLYMPIA,WA,98516,1800.0,0.0,1800.0,0.0,0.0,1,0,
11094,99801094300,9400 MULLEN RD SE TRLR 27,OLYMPIA,WA,98513,11000.0,0.0,11000.0,0.0,0.0,1,0,
11095,99801096100,6748 FIR TREE RD SE # 37,OLYMPIA,WA,98513,13500.0,0.0,13500.0,0.0,0.0,1,0,
11096,99801100300,7300 32ND AVE NE #32,OLYMPIA,WA,98516,18100.0,0.0,18100.0,0.0,0.0,1,0,
11097,99801102200,6200 FAIR OAKS RD SE # 45,OLYMPIA,WA,98513,3200.0,0.0,3200.0,0.0,0.0,1,0,
11098,99801135800,7838 MARTIN WAY NE # 18,OLYMPIA,WA,98516,1400.0,0.0,1400.0,0.0,0.0,1,0,
11099,99801148800,4500 MARTIN WAY E # 42,OLYMPIA,WA,98516,19800.0,0.0,19800.0,0.0,0.0,1,0,
11100,99801162200,6200 FAIR OAKS RD SE # 76,OLYMPIA,WA,98513,11500.0,0.0,11500.0,0.0,0.0,1,0,
11101,99801162800,4500 MARTIN WAY E # 77,OLYMPIA,WA,98516,14400.0,0.0,14400.0,0.0,0.0,1,0,
11102,99801164400,PO BOX 5270,YELM,WA,98597,29500.0,0.0,29500.0,0.0,0.0,1,0,
11103,99801168900,8103 MARTIN WAY E # 54,OLYMPIA,WA,98516,1900.0,0.0,1900.0,0.0,0.0,1,0,
11104,99801171800,7300 32ND AVE NE # 47,OLYMPIA,WA,98516,20500.0,0.0,20500.0,0.0,0.0,1,0,
11105,99801179200,10800 G THOMSEN RD SE,OLYMPIA,WA,98513,28200.0,0.0,28200.0,0.0,0.0,1,0,
11106,99801179700,15902 86TH AVE SE,YELM,WA,98597,24300.0,0.0,24300.0,46.9618,-122.59909,1,1,
11107,99801191300,8103 MARTIN WAY E # 44,OLYMPIA,WA,98516,11000.0,0.0,11000.0,0.0,0.0,1,0,
11108,99801193000,6200 FAIR OAKS RD SE # 16,OLYMPIA,WA,98513,3200.0,0.0,3200.0,0.0,0.0,1,0,
11109,99801195600,8005 MARTIN WAY E # 10,OLYMPIA,WA,98516,8900.0,0.0,8900.0,0.0,0.0,1,0,
11110,99801196800,8530 STEILACOOM RD SE # 51,OLYMPIA,WA,98513,20100.0,0.0,20100.0,0.0,0.0,1,0,
11111,99801198000,8530 STEILACOOM RD SE # 104,OLYMPIA,WA,98513,13000.0,0.0,13000.0,0.0,0.0,1,0,
11112,99801198500,8530 STEILACOOM RD SE # 111,OLYMPIA,WA,98513,25400.0,0.0,25400.0,0.0,0.0,1,0,
11113,99801198900,8530 STEILACOOM RD SE # 117,OLYMPIA,WA,98513,9100.0,0.0,9100.0,0.0,0.0,1,0,
11114,99801202700,6200 FAIR OAKS RD SE # 52,OLYMPIA,WA,98513,12000.0,0.0,12000.0,0.0,0.0,1,0,
11115,99801203000,2305 ALONDA LN NE,OLYMPIA,WA,98516,27200.0,0.0,27200.0,47.0607,-122.82445,1,1,
11116,99801208400,8530 STEILACOOM RD SE # 48,OLYMPIA,WA,98513,3400.0,0.0,3400.0,0.0,0.0,1,0,
11117,99801213900,2303 ALONDA LN NE,OLYMPIA,WA,98516,39900.0,0.0,39900.0,47.0607,-122.82445,1,1,
11118,99801216600,8530 STEILACOOM RD #147,OLYMPIA,WA,98513,11100.0,0.0,11100.0,0.0,0.0,1,0,
