area_code_list,bounds_east,bounds_north,bounds_south,bounds_west,common_city_list,county,housing_units,land_area_in_sqmi,lat,lng,major_city,median_home_value,median_household_income,occupied_housing_units,population,population_density,post_office_city,radius_in_miles,water_area_in_sqmi,zipcode,zipcode_type
['360'],-122.588969,45.765749,45.692334,-122.661222,['Vancouver'],Clark County,6849.0,11.5,45.74,-122.63,Vancouver,260900.0,75210.0,6506.0,17385.0,1512.0,"Vancouver, WA",4.0,0.0,98686,Standard
['509'],-120.192083,47.643068,47.260873,-120.458818,['Wenatchee'],Chelan County,16686.0,162.32,47.4,-120.4,Wenatchee,225900.0,51176.0,15654.0,40977.0,252.0,"Wenatchee, WA",19.0,3.82,98801,Standard
['509'],-120.025205,47.670786,47.345671,-120.318084,"['East Wenatchee', 'E Wenatchee', 'Wenatchee']",Douglas County,11297.0,179.46,47.5,-120.2,East Wenatchee,220100.0,56893.0,10565.0,28719.0,160.0,"East Wenatchee, WA",14.0,3.13,98802,Standard
['509'],-119.452205,48.281927,47.960069,-119.968686,['Brewster'],Okanogan County,1775.0,265.24,48.2,-119.8,Brewster,161300.0,42212.0,1532.0,4899.0,18.0,"Brewster, WA",23.0,8.92,98812,Standard
['509'],-119.408426,48.10673,47.923719,-119.777109,['Bridgeport'],Douglas County,1084.0,118.12,48.0,-119.6,Bridgeport,108300.0,37392.0,934.0,3176.0,27.0,"Bridgeport, WA",14.0,7.36,98813,Standard
['509'],-119.935805,48.318426,48.095419,-120.383719,['Carlton'],Okanogan County,351.0,149.95,48.2,-120.2,Carlton,174300.0,32121.0,222.0,466.0,3.0,"Carlton, WA",13.0,0.13,98814,Standard
['509'],-120.351851,47.630733,47.295632,-120.585228,['Cashmere'],Chelan County,2864.0,118.82,47.5,-120.5,Cashmere,282100.0,56098.0,2639.0,7233.0,61.0,"Cashmere, WA",17.0,0.35,98815,Standard
['509'],-119.859708,48.244447,47.760367,-120.963184,['Chelan'],Chelan County,4676.0,396.62,48.1,-120.5,Chelan,388900.0,51411.0,2523.0,6394.0,16.0,"Chelan, WA",47.0,41.1,98816,Standard
['509'],-120.184915,48.16729,47.604787,-120.816913,['Entiat'],Chelan County,999.0,437.0,47.8,-120.4,Entiat,200000.0,50750.0,752.0,1953.0,4.0,"Entiat, WA",20.0,2.16,98822,Standard
['509'],-119.425507,47.609064,47.103477,-119.854357,['Ephrata'],Grant County,4576.0,298.26,47.3,-119.6,Ephrata,150700.0,48164.0,4000.0,11055.0,37.0,"Ephrata, WA",17.0,0.48,98823,Standard
['360'],-120.441951,48.180575,47.449657,-121.180713,['Leavenworth'],Chelan County,5598.0,1015.96,47.7,-120.8,Leavenworth,310200.0,49559.0,2845.0,6504.0,6.0,"Leavenworth, WA",27.0,8.0,98826,Standard
['509'],-119.514898,49.000448,48.68766,-119.979774,['Loomis'],Okanogan County,254.0,318.61,48.7,-119.9,Loomis,99800.0,36906.0,139.0,312.0,1.0,"Loomis, WA",34.0,4.44,98827,Standard
['509'],-120.083274,47.381044,47.207591,-120.266602,['Malaga'],Chelan County,817.0,56.67,47.3,-120.2,Malaga,266700.0,59053.0,744.0,2146.0,38.0,"Malaga, WA",8.0,1.62,98828,Standard
['509'],-119.169274,48.115483,47.684924,-119.870423,['Mansfield'],Douglas County,276.0,450.58,47.9,-119.5,Mansfield,106600.0,42045.0,230.0,494.0,1.0,"Mansfield, WA",24.0,2.72,98830,Standard
['509'],-120.052606,48.019497,47.854563,-120.207684,['Manson'],Chelan County,2147.0,46.94,48.2,-120.5,Manson,279000.0,44357.0,1345.0,3708.0,79.0,"Manson, WA",37.0,7.36,98831,Standard
['509'],-118.784357,47.553366,47.144842,-119.213028,['Marlin'],Grant County,103.0,199.93,47.3,-119.0,Marlin,198100.0,58250.0,88.0,320.0,2.0,"Marlin, WA",22.0,0.2,98832,Standard
['509'],-120.362749,48.898894,48.514215,-120.789047,['Mazama'],Okanogan County,360.0,201.59,48.6,-120.6,Mazama,540000.0,78409.0,73.0,150.0,1.0,"Mazama, WA",14.0,0.07,98833,Standard
['509'],-119.957079,48.197334,48.042044,-120.238547,['Methow'],Okanogan County,194.0,73.89,48.17,-120.03,Methow,267300.0,56563.0,116.0,239.0,3.0,"Methow, WA",5.0,0.02,98834,Standard
['509'],-119.001231,47.39539,46.960818,-119.62175,['Moses Lake'],Grant County,15479.0,482.86,47.2,-119.3,Moses Lake,170700.0,49062.0,14135.0,39722.0,82.0,"Moses Lake, WA",24.0,32.09,98837,Standard
['509'],-119.099239,48.613722,48.049403,-119.956707,['Okanogan'],Okanogan County,2145.0,417.48,48.3,-119.4,Okanogan,151300.0,45025.0,1901.0,4851.0,12.0,"Okanogan, WA",29.0,6.18,98840,Standard
['509'],-118.843439,48.501992,48.157989,-119.60358,['Omak'],Okanogan County,3866.0,383.73,48.4,-119.3,Omak,154900.0,42725.0,3618.0,9197.0,24.0,"Omak, WA",16.0,6.02,98841,Standard
['509'],-119.86092,47.859243,47.579147,-120.244504,['Orondo'],Douglas County,1224.0,65.55,47.7,-120.0,Orondo,308300.0,54514.0,579.0,1817.0,28.0,"Orondo, WA",14.0,4.94,98843,Standard
['509'],-118.902441,49.000351,48.785158,-119.60458,['Oroville'],Okanogan County,3038.0,330.6,48.9,-119.3,Oroville,159300.0,32158.0,2001.0,4740.0,14.0,"Oroville, WA",25.0,6.37,98844,Standard
['509'],-119.747284,47.509843,47.309249,-120.072168,['Palisades'],Douglas County,71.0,69.55,47.4,-119.9,Palisades,162500.0,48056.0,52.0,128.0,2.0,"Palisades, WA",13.0,0.01,98845,Standard
['509'],-119.844071,48.156552,47.960203,-120.15049,['Pateros'],Okanogan County,603.0,89.07,48.1,-120.0,Pateros,223100.0,45625.0,443.0,1173.0,13.0,"Pateros, WA",10.0,2.54,98846,Standard
['509'],-120.450275,47.613292,47.295575,-120.925698,['Peshastin'],Chelan County,905.0,161.69,47.5,-120.7,Peshastin,216100.0,48266.0,744.0,1920.0,12.0,"Peshastin, WA",12.0,0.18,98847,Standard
['509'],-119.605293,47.439222,46.963897,-120.049055,"['Quincy', 'George']",Grant County,4958.0,450.18,47.2,-119.8,Quincy,150300.0,42325.0,3537.0,11518.0,26.0,"Quincy, WA",26.0,8.54,98848,Standard
['509'],-119.195685,48.631485,48.452601,-119.640754,['Riverside'],Okanogan County,733.0,153.51,48.5,-119.4,Riverside,153800.0,46667.0,462.0,1078.0,7.0,"Riverside, WA",16.0,0.97,98849,Standard
['509'],-120.004667,47.391415,47.223652,-120.192264,['Rock Island'],Douglas County,596.0,22.7,47.4,-120.1,Rock Island,151500.0,32500.0,522.0,1543.0,68.0,"Rock Island, WA",15.0,2.73,98850,Standard
['509'],-119.276155,47.536604,47.25731,-119.598099,['Soap Lake'],Grant County,2084.0,158.86,47.4,-119.4,Soap Lake,132000.0,30884.0,1726.0,4014.0,25.0,"Soap Lake, WA",14.0,4.34,98851,Standard
['509'],-118.869197,48.858102,48.481614,-119.709652,['Tonasket'],Okanogan County,3400.0,642.06,48.7,-119.3,Tonasket,138600.0,39643.0,2388.0,5863.0,9.0,"Tonasket, WA",30.0,2.71,98855,Standard
['509'],-119.844898,48.540643,48.221995,-120.668113,['Twisp'],Okanogan County,1587.0,453.41,48.3,-120.3,Twisp,220400.0,33967.0,1198.0,2464.0,5.0,"Twisp, WA",28.0,0.33,98856,Standard
['509'],-118.89716,47.144958,46.881772,-119.266996,['Warden'],Grant County,1340.0,162.92,47.0,-119.1,Warden,111200.0,46875.0,1246.0,4082.0,25.0,"Warden, WA",14.0,2.09,98857,Standard
['509'],-119.599334,47.937031,47.391536,-120.197124,['Waterville'],Douglas County,708.0,386.9,47.7,-119.8,Waterville,153600.0,45150.0,618.0,1521.0,4.0,"Waterville, WA",28.0,1.44,98858,Standard
['509'],-118.835197,49.000426,48.653685,-119.040037,['Wauconda'],Okanogan County,249.0,134.42,48.8,-118.9,Wauconda,150700.0,15078.0,99.0,238.0,2.0,"Wauconda, WA",21.0,0.09,98859,Standard
['509'],-119.905443,48.843171,48.373635,-120.853673,['Winthrop'],Okanogan County,2072.0,447.95,48.7,-120.4,Winthrop,281700.0,46597.0,1074.0,2218.0,5.0,"Winthrop, WA",35.0,0.96,98862,Standard
['509'],-120.255737,46.897656,46.547675,-120.55695,"['Yakima', 'Union Gap']",Yakima County,10287.0,116.65,46.7,-120.4,Yakima,132700.0,35738.0,9735.0,30169.0,259.0,"Yakima, WA",15.0,1.69,98901,Standard
['509'],-120.497432,46.626062,46.570712,-120.562118,['Yakima'],Yakima County,17714.0,9.02,46.6,-120.53,Yakima,140500.0,36943.0,16839.0,46322.0,5133.0,"Yakima, WA",3.0,0.11,98902,Standard
['509'],-120.470174,46.616724,46.444887,-121.455794,"['Yakima', 'Union Gap']",Yakima County,5648.0,289.21,46.5,-120.8,Yakima,134800.0,46082.0,5353.0,14517.0,50.0,"Yakima, WA",25.0,0.21,98903,Standard
['509'],-120.556897,46.699531,46.549899,-120.887963,['Yakima'],Yakima County,14656.0,98.81,46.6,-120.8,Yakima,203300.0,58891.0,14064.0,35240.0,357.0,"Yakima, WA",17.0,0.26,98908,Standard
['509'],-120.531525,47.480428,47.085327,-121.217285,['Cle Elum'],Kittitas County,4639.0,447.18,47.2,-121.0,Cle Elum,263600.0,46509.0,2425.0,5468.0,12.0,"Cle Elum, WA",33.0,0.08,98922,Standard
['509'],-120.678274,46.688775,46.648216,-120.809408,['Cowiche'],Yakima County,464.0,6.03,46.67,-120.72,Cowiche,144200.0,54000.0,440.0,1434.0,238.0,"Cowiche, WA",3.0,0.0,98923,Standard
